TIME[UTC],X[km],Y[km],Z[km]
1 Jan 2020 20:43:00.000000000,2100.08498725084,-3849.62626544514,-5428.11354463846
1 Jan 2020 20:43:01.000000000,2101.07145614563,-3855.61417989632,-5423.47988128668
1 Jan 2020 20:43:02.000000000,2102.05459856204,-3861.59773561925,-5418.83985588183
1 Jan 2020 20:43:03.000000000,2103.03441398826,-3867.57692514166,-5414.19347386679
1 Jan 2020 20:43:04.000000000,2104.01090191751,-3873.55174099597,-5409.54074069216
1 Jan 2020 20:43:05.000000000,2104.98406184784,-3879.52217571995,-5404.88166181579
1 Jan 2020 20:43:06.000000000,2105.95389328228,-3885.48822185639,-5400.21624270301
1 Jan 2020 20:43:07.000000000,2106.92039572905,-3891.4498719528,-5395.54448882672
1 Jan 2020 20:43:08.000000000,2107.88356870096,-3897.40711856226,-5390.86640566705
1 Jan 2020 20:43:09.000000000,2108.84341171636,-3903.35995424232,-5386.18199871178
1 Jan 2020 20:43:10.000000000,2109.79992429801,-3909.3083715562,-5381.49127345586
1 Jan 2020 20:43:11.000000000,2110.75310597402,-3915.25236307172,-5376.79423540191
1 Jan 2020 20:43:12.000000000,2111.70295627717,-3921.19192136219,-5372.09089005976
1 Jan 2020 20:43:13.000000000,2112.64947474549,-3927.12703900588,-5367.38124294664
1 Jan 2020 20:43:14.000000000,2113.59266092182,-3933.05770858601,-5362.66529958737
1 Jan 2020 20:43:15.000000000,2114.53251435416,-3938.9839226912,-5357.94306551388
1 Jan 2020 20:43:16.000000000,2115.4690345952,-3944.90567391496,-5353.21454626576
1 Jan 2020 20:43:17.000000000,2116.4022212027,-3950.82295485628,-5348.47974738971
1 Jan 2020 20:43:18.000000000,2117.33207373958,-3956.73575811886,-5343.73867444003
1 Jan 2020 20:43:19.000000000,2118.25859177343,-3962.64407631196,-5338.99133297823
1 Jan 2020 20:43:20.000000000,2119.18177487717,-3968.54790204985,-5334.23772857314
1 Jan 2020 20:43:21.000000000,2120.10162262825,-3974.44722795193,-5329.47786680114
1 Jan 2020 20:43:22.000000000,2121.01813460949,-3980.34204664296,-5324.71175324569
1 Jan 2020 20:43:23.000000000,2121.93131040846,-3986.23235075265,-5319.93939349784
1 Jan 2020 20:43:24.000000000,2122.84114961789,-3992.11813291609,-5315.16079315579
1 Jan 2020 20:43:25.000000000,2123.74765183526,-3997.99938577371,-5310.37595782503
1 Jan 2020 20:43:26.000000000,2124.65081666301,-4003.87610197092,-5305.58489311859
1 Jan 2020 20:43:27.000000000,2125.55064370885,-4009.74827415854,-5300.78760465654
1 Jan 2020 20:43:28.000000000,2126.44713258504,-4015.61589499253,-5295.98409806649
1 Jan 2020 20:43:29.000000000,2127.34028290926,-4021.47895713422,-5291.1743789831
1 Jan 2020 20:43:30.000000000,2128.23009430371,-4027.33745325008,-5286.35845304858
1 Jan 2020 20:43:31.000000000,2129.11656639587,-4033.19137601196,-5281.53632591222
1 Jan 2020 20:43:32.000000000,2129.99969881812,-4039.04071809703,-5276.7080032306
1 Jan 2020 20:43:33.000000000,2130.87949120785,-4044.88547218751,-5271.87349066773
