TIME[UTC],X[km],Y[km],Z[km]
1 Jan 2020 20:20:00.000000000,2210.24575056822,-2842.09894947902,-5977.59845374665
1 Jan 2020 20:20:01.000000000,2212.2458681248,-2848.43530906063,-5973.84135208079
1 Jan 2020 20:20:02.000000000,2214.24247846557,-2854.76863385675,-5970.07724275619
1 Jan 2020 20:20:03.000000000,2216.23557970224,-2861.09891596,-5966.30613018838
1 Jan 2020 20:20:04.000000000,2218.22516995172,-2867.42614746635,-5962.52801880108
1 Jan 2020 20:20:05.000000000,2220.21124733624,-2873.75032047501,-5958.74291302624
1 Jan 2020 20:20:06.000000000,2222.19380998313,-2880.07142708857,-5954.95081730401
1 Jan 2020 20:20:07.000000000,2224.17285602502,-2886.38945941295,-5951.15173608272
1 Jan 2020 20:20:08.000000000,2226.14838359994,-2892.70440955721,-5947.34567381892
1 Jan 2020 20:20:09.000000000,2228.12039085096,-2899.01626963396,-5943.53263497735
1 Jan 2020 20:20:10.000000000,2230.08887592665,-2905.32503175895,-5939.7126240309
1 Jan 2020 20:20:11.000000000,2232.0538369806,-2911.63068805146,-5935.88564546068
1 Jan 2020 20:20:12.000000000,2234.01527217183,-2917.93323063399,-5932.05170375595
1 Jan 2020 20:20:13.000000000,2235.97317966459,-2924.23265163247,-5928.21080341415
1 Jan 2020 20:20:14.000000000,2237.92755762844,-2930.52894317612,-5924.36294894086
1 Jan 2020 20:20:15.000000000,2239.87840423811,-2936.82209739768,-5920.50814484985
1 Jan 2020 20:20:16.000000000,2241.82571767356,-2943.11210643329,-5916.64639566302
1 Jan 2020 20:20:17.000000000,2243.76949612025,-2949.39896242233,-5912.77770591043
1 Jan 2020 20:20:18.000000000,2245.70973776865,-2955.6826575078,-5908.90208013026
1 Jan 2020 20:20:19.000000000,2247.64644081474,-2961.96318383593,-5905.01952286886
1 Jan 2020 20:20:20.000000000,2249.57960345955,-2968.24053355661,-5901.13003868068
1 Jan 2020 20:20:21.000000000,2251.50922390956,-2974.51469882298,-5897.23363212831
1 Jan 2020 20:20:22.000000000,2253.43530037649,-2980.78567179173,-5893.33030778246
1 Jan 2020 20:20:23.000000000,2255.35783107738,-2987.05344462295,-5889.42007022195
1 Jan 2020 20:20:24.000000000,2257.27681423444,-2993.31800948031,-5885.50292403372
1 Jan 2020 20:20:25.000000000,2259.19224807516,-2999.57935853097,-5881.5788738128
1 Jan 2020 20:20:26.000000000,2261.10413083251,-3005.83748394542,-5877.64792416234
1 Jan 2020 20:20:27.000000000,2263.0124607445,-3012.09237789788,-5873.71007969355
1 Jan 2020 20:20:28.000000000,2264.91723605467,-3018.34403256588,-5869.76534502576
