NAME,LATITUDE[deg],LONGITUDE[deg],ALTITUDE[km]
N0000,-32.8320071216356,-54.5880595668629,0.314826065419956
N0001,-12.7009190640417,-56.6473711738118,0.3114308432149
N0002,-29.853156184197,-72.0821562285452,0.0139279133360094
N0003,-27.0946188219798,-56.468932539117,0.105647399257413
N0004,-20.3815590996675,-50.8989636982786,0.375785837374756
N0005,-20.7674116304458,-52.2965067036434,0.334003765622769
N0006,-27.5203978151178,-56.2071335373945,0.109845084250897
N0007,-25.7822241832885,-55.8688068632823,0.284731648475103
N0008,-36.9336199964553,-67.3765919793754,0.440502905557174
N0009,-21.4878952309433,-50.4224006630119,0.455447098289206
N0010,-15.2903644517951,-57.4859524838561,0.203565943036048
N0011,-26.91682901644,-58.1142866166375,0.0762575987513956
N0012,-14.8027066987486,-54.6247504399739,0.661722441722067
N0013,-25.9362104082649,-70.1625492244319,1.06137367036735
N0014,-24.9269440848506,-67.3713255131949,3.72117436999051
N0015,-21.9651881553536,-54.6498145656427,0.311071960609104
N0016,-14.2222548747073,-68.3712382845912,0.976580691929023
N0017,-15.9177786590614,-61.8859351743879,0.404669850601526
N0018,-13.66002424879,-67.9225763698214,0.244180027993146
N0019,-29.4661582081421,-51.629219270744,0.453485960821017
N0020,-26.1284541539049,-55.8784801616233,0.173440176797664
N0021,-19.549187615723,-55.0634407654235,0.299656556287676
N0022,-27.2196373292802,-53.3579580228114,0.311927397645989
N0023,-33.7563211217785,-70.6628863639025,0.538983055279062
N0024,-22.1360228439029,-71.3583412057061,0.0133642573448145
N0025,-31.8881998880711,-65.909461645507,0.365518578914121
N0026,-37.3236072152963,-69.2874055172258,0.950679679152237
N0027,-26.403073008779,-58.4460546377795,0.0795593419731525
N0028,-30.1712305504229,-62.6866324474042,0.0958760574019207
N0029,-19.3446644750632,-58.3284057442231,0.117050529823909
N0030,-23.6459458202803,-65.0320695975479,1.45794623926971
N0031,-34.0419884542665,-61.1102335864726,0.101659709307979
N0032,-31.433775542925,-49.2175970648032,0.000451319021908278
N0033,-15.574251828936,-67.2491595305266,0.52284662407738
N0034,-17.7893548783331,-71.9962890089007,0.0200105784323405
N0035,-19.7087826144922,-52.111043626634,0.384990501408453
N0036,-15.4104337712333,-52.9586759601993,0.467766674028215
N0037,-26.793946509107,-67.5118842901717,4.17640591817742
N0038,-15.4367648681331,-54.9533882510166,0.672008961871083
N0039,-33.3946492873573,-69.5447486759372,3.70171136636595
N0040,-23.3684293181954,-63.3733240443623,0.272781870064325
N0041,-25.5265263805289,-61.6686028791445,0.184432005153834
N0042,-12.9831256251238,-64.1557265098466,0.16270407926965
N0043,-19.8262073503464,-53.0348493574815,0.488209114282648
N0044,-19.4681652758122,-65.5717240212819,4.03255881575566
N0045,-34.2147046239649,-59.0733918013859,0.0400756741314162
N0046,-26.0779118947582,-54.237752463919,0.344890081440558
N0047,-30.4832734504637,-69.196384556357,2.24184724668498
N0048,-24.3364917073569,-66.5389540292504,4.6186499171272
N0049,-26.1296652224984,-61.102040264477,0.154537300395833
N0050,-15.2837061938754,-49.6071615912519,0.612470037689011
N0051,-30.3735314855694,-58.2397338350023,0.0804574327971579
N0052,-29.1495585912138,-62.8771562614372,0.115947434236099
N0053,-27.9990278742737,-67.464931255097,1.34637478918284
N0054,-19.9934590081188,-66.9911887186073,3.83737394130002
N0055,-20.5092897696464,-58.3178422994064,0.11049920474444
N0056,-31.7919831600469,-57.899915799126,0.0867532899342432
N0057,-37.4599764260277,-68.372621775918,0.653916627774518
N0058,-17.005543217019,-55.4733855751219,0.156282910143747
N0059,-25.6271079613488,-50.3780490330784,0.891742078509328
N0060,-31.8913897144568,-70.6394024714545,1.04637398182282
N0061,-25.2809942547143,-60.3176308570512,0.141715120021756
N0062,-15.2815843849357,-68.7353908131064,2.2811135840736
N0063,-28.5331317318758,-69.2726813073143,4.76965920575863
N0064,-24.9754025097356,-65.69756195275,1.84740310197912
N0065,-20.6753925828149,-56.9978108388827,0.275652429221273
N0066,-31.3237230285181,-55.3926090228803,0.185275191999009
N0067,-31.7610424820618,-56.8612677269435,0.197008060525958
N0068,-35.4997925587929,-50.3867925455267,0.000251836024596442
N0069,-35.0190442879307,-58.2059693636866,0.0380392359012828
N0070,-13.6566986355729,-60.4612760952494,0.244356398226938
N0071,-35.5413903493627,-60.576976557205,0.0852975527812342
N0072,-22.5624342516355,-58.9968623245586,0.124504549651766
N0073,-29.781408641339,-51.2779960956322,0.0479773824083021
N0074,-19.2777760378913,-70.2106516745457,1.0021929411896
N0075,-29.690841339338,-51.963106132235,0.0188070040876622
N0076,-18.4118460679016,-58.85161618942,0.298695213982868
N0077,-31.7106505500202,-52.7443037224209,0.092906929259738
N0078,-26.8261673365376,-53.1559006285183,0.478800852208002
N0079,-20.4581494500666,-68.5141677781074,3.76989710300268
N0080,-36.8440245295614,-66.8263465669594,0.296227455178726
N0081,-19.9895287453614,-62.3958970553688,0.459479946332882
N0082,-23.8157961357924,-71.6114789307637,0.0139733403434176
N0083,-29.4941192708882,-59.4993741371666,0.0476867455926587
N0084,-28.6388733170642,-63.6987086990842,0.138096683738039
N0085,-35.3728292171251,-49.7187506714923,-0.00159882878005272
N0086,-22.9543412871912,-50.5211385976622,0.368194771740978
N0087,-14.2213503975055,-54.5301136192075,0.53830363444065
N0088,-37.5980121220918,-72.8040176975094,0.359630848485735
N0089,-15.2551966054156,-64.3847220603771,0.194199939992729
N0090,-16.4539821717674,-60.3551356362436,0.376523140518805
N0091,-27.494905269423,-62.86475083519,0.174966026020998
N0092,-13.506720613412,-51.8122864505799,0.454728139490595
N0093,-16.0859647709811,-55.5721068390981,0.173404829088509
N0094,-26.18195847286,-62.116738759641,0.198827186346685
N0095,-32.5351003904059,-65.4438919302746,0.907160823418162
N0096,-32.4286430954601,-49.6048765098233,0.0018026811475079
N0097,-23.8619448341252,-54.9303520686135,0.336002637674864
N0098,-17.971747349888,-56.2454932939939,0.139140852490109
N0099,-14.2611804214125,-59.0509553208719,0.653516413734353
N0100,-32.0027430536704,-53.3820345041724,0.245914086972908
N0101,-25.139122778568,-63.6790673388071,0.341569045359733
N0102,-37.3378224574206,-63.0720906678457,0.187314508285522
N0103,-31.5087648450438,-50.9907074702395,0.00579296873939527
N0104,-22.1302657919146,-60.2805369308128,0.167966329346773
N0105,-17.646291600329,-62.1221496390282,0.310314395660966
N0106,-15.4007040231026,-64.1734273896895,0.203529121415156
N0107,-29.56018560634,-59.5888888933179,0.0505060458424671
N0108,-16.8314412975365,-65.2247779101714,0.255333271959996
N0109,-26.3891764419569,-55.1035096852125,0.344134229244384
N0110,-33.0255141597826,-57.0220124317901,0.0535890002330084
N0111,-35.8174156643066,-49.6221345574233,-0.0021564008599009
N0112,-33.6636083086783,-53.0289372868505,0.0105331293713303
N0113,-19.7901075760322,-56.4494647773679,0.115761619241229
N0114,-29.159193763537,-67.3909983288921,0.949618318754232
N0115,-14.0583662693195,-64.452518828098,0.1871658940675
N0116,-36.0428372760968,-64.3042412845438,0.216109178028922
N0117,-34.8819790067067,-71.171947667595,0.309002754021766
N0118,-12.7160128576756,-71.9158379306159,3.82615222724472
N0119,-28.0269283777694,-58.5346299455662,0.0854278627951463
N0120,-22.8035216055361,-48.1952573007416,0.537710314835127
N0121,-35.9418410471835,-49.0014215420473,-0.00338201386554295
N0122,-21.9704471593119,-53.5129507513777,0.373856221804591
N0123,-27.543187907172,-51.3552157057706,0.773658121418357
N0124,-22.5446909034833,-72.3730559408074,0.0199345241731855
N0125,-15.598910771077,-60.8469694397165,0.287747305271497
N0126,-32.356316852037,-67.2576707362,0.522271770552324
N0127,-28.5254411610893,-58.0807306218803,0.0816877393883853
N0128,-20.0646188398658,-58.6169882211448,0.113346822633552
N0129,-32.5154590301288,-67.4088851705701,0.512439770563413
N0130,-20.7819830918135,-58.1593000676759,0.104363706422359
N0131,-24.3315137067025,-62.8392674630225,0.234741840950789
N0132,-23.7221706614933,-61.293772772231,0.192776675907266
N0133,-28.5793123629314,-59.1964627385589,0.0578551604125772
N0134,-31.7914483829827,-66.4882379387451,0.459475652824766
N0135,-24.3728760356423,-53.0156033669205,0.390173517406406
N0136,-14.6978495324021,-50.9545464963906,0.241567723099702
N0137,-34.7999880796764,-67.9302568590409,0.541923272888577
N0138,-23.5801713846066,-69.9159941222593,1.30404617003502
N0139,-30.1516873981113,-63.2506575573006,0.0964749271965833
N0140,-27.9857493796785,-51.5348918702616,0.801619624700942
N0141,-36.4047738738846,-64.8861378227296,0.316351147199329
N0142,-29.2920875578151,-61.311396829603,0.0897568754615194
N0143,-34.596201976061,-51.8851665398968,0.00805385696172424
N0144,-13.2788001234544,-59.9012483848265,0.613637478570981
N0145,-28.6073288277291,-62.1990246365308,0.118200804202385
N0146,-16.9003789004872,-68.7180432071993,3.89363913208396
N0147,-15.2526468537527,-72.7442215378602,5.04996580696633
N0148,-26.3637435940391,-56.202573584161,0.129546056510095
N0149,-27.779250880554,-68.7766743870809,6.5075907659019
N0150,-27.4336383884464,-51.4467251686131,0.799532862998793
N0151,-22.0637673227879,-64.1564529647382,1.20603196772616
N0152,-25.5001799051651,-70.6833074041565,0.02603074355545
N0153,-23.6491199073145,-64.5017703556464,0.406419600308682
N0154,-34.9576826565236,-68.6951843020484,1.39265290726659
N0155,-37.0005592372737,-58.2486247176065,0.0576285205112964
N0156,-30.9653008230335,-52.3648014728282,0.186414178443536
N0157,-16.9231357908915,-52.3470912215519,0.580421947895573
N0158,-24.2545261937913,-67.5453758839729,3.50996975519582
N0159,-36.0471799052075,-70.5107738318903,2.18999699326034
N0160,-29.1975707961701,-59.7941458230345,0.0650550435455465
N0161,-23.4176626151044,-54.9901999981563,0.38333187623657
N0162,-15.3809091110159,-70.2738513991115,4.08667279404173
N0163,-13.6152244664334,-54.0798063252027,0.487935030118692
N0164,-13.2018996426379,-70.1557665418162,0.486657708475071
N0165,-19.0665132650018,-50.4775978004456,0.404071366959612
N0166,-19.6367432417053,-69.4750130110304,2.14610738561297
N0167,-13.3170191688542,-59.6390242110654,0.533887402038665
N0168,-31.9711245474737,-55.3483209091464,0.115732675392252
N0169,-16.8859579175645,-66.7087801536586,3.74913791868172
N0170,-15.1622769222885,-53.1944316204146,0.39209239856474
N0171,-19.4274838833732,-52.6836158214061,0.534534635523752
N0172,-25.4006891475528,-53.4587041101226,0.417896934493057
N0173,-33.7337238134973,-72.635577427659,0.00958535802863545
N0174,-29.2949074163078,-71.0055556322008,1.1184292297934
N0175,-25.9896953440689,-66.9183677100662,5.65187993969322
N0176,-22.6553936789536,-65.3684770486636,4.5225579137243
N0177,-17.0791035909108,-50.7394925654118,0.675621513680636
N0178,-30.5290625535087,-50.1735673246316,0.00358996948333987
N0179,-26.2755438537223,-63.3263285060536,0.248968685020116
N0180,-34.5680829377231,-52.6693135821118,0.00887374816494466
N0181,-28.7998707130085,-47.9019161147074,0.00113952769505313
N0182,-27.1286710370466,-69.6229614368281,2.70114136652865
N0183,-16.1118814759012,-69.5902878120031,3.88208909085996
N0184,-16.5477823039739,-65.3841115798262,0.234011710128874
N0185,-22.8759666740782,-52.0062052846449,0.371566950646836
N0186,-28.1594179664084,-52.4383997515488,0.669917228092495
N0187,-32.8484969096018,-59.1031391757555,0.0421280307030667
N0188,-17.8666619396613,-53.8340467936984,0.349600403070028
N0189,-32.0895108506035,-70.0222050008933,6.0598945518912
N0190,-14.0401275856142,-49.0796470387744,0.526684759162081
N0191,-27.2848989088949,-50.2963440104371,1.03243885309532
N0192,-21.6660711977473,-60.2481455549356,0.17683473236017
N0193,-30.322204121492,-62.3682661930417,0.0900090399354772
N0194,-29.8959094201196,-70.6775266034424,2.81806314739782
N0195,-31.6099616575567,-64.897557222842,2.09630999665433
N0196,-31.5727770554241,-61.659629411511,0.105633973445947
N0197,-34.6406972159355,-70.5929633401767,2.09258372736802
N0198,-26.8945609074061,-54.6255677686658,0.344264226818165
N0199,-28.0549447843595,-63.8777277107247,0.171498795821566
N0200,-14.8468226342214,-72.2434360014943,4.96801085563718
N0201,-33.5877951236851,-72.0107958364816,0.0172875662829994
N0202,-25.6295889581226,-57.083490059424,0.140564272515178
N0203,-16.2589497436578,-53.3169939274048,0.745127039076624
N0204,-35.0199801390618,-66.0759644151553,0.418670411240984
N0205,-35.3728306257505,-59.7950157598104,0.0589628167715429
N0206,-20.5840564740282,-64.353338852829,1.91717456084546
N0207,-26.7862009204394,-68.5884358989487,5.66002932167619
N0208,-27.8844146732168,-61.6035267025714,0.0947861236507488
N0209,-28.7358449169602,-49.9805254821109,1.23103513080698
N0210,-16.8007573153362,-61.8436152828595,0.365332009678605
N0211,-17.1943783918835,-53.9702557005315,0.557476161959351
N0212,-36.2741499222695,-66.0784094512362,0.351667604990664
N0213,-22.9334282292209,-49.5997885548974,0.513725713675932
N0214,-20.2977025356133,-70.3555335694251,0.027980261979587
N0215,-34.7085782683494,-71.3410941709956,0.244516182079515
N0216,-28.2791020093388,-51.3117831398788,0.798632477560213
N0217,-32.6753823666719,-49.8966915841199,0.0037849977690403
N0218,-17.9918519150893,-63.3741030724133,0.552878241050869
