NAME,X[km],Y[km],Z[km]
N0000,3108.67570621134,-4372.40162481135,-3438.48928517704
N0001,3421.55474054281,-5198.40721166192,-1393.2153293744
N0002,1703.2866356397,-5267.86711250342,-3156.27325369044
N0003,3138.79227086286,-4736.61555472623,-2887.60122351705
N0004,3772.54020790481,-4641.93814116797,-2207.47295292773
N0005,3648.9987958982,-4720.65787977154,-2247.45402123732
N0006,3148.3656139556,-4704.23928949872,-2929.52578221479
N0007,3224.64665414457,-4757.2023222766,-2757.4809141298
N0008,1963.66645373357,-4711.97874558746,-3811.77201476178
N0009,3783.18073621618,-4576.7219668293,-2321.91070689821
N0010,3307.80952316605,-5189.41277006302,-1671.16671398167
N0011,3006.20753619168,-4832.35979075307,-2870.03591948913
N0012,3571.0903006917,-5029.61209071847,-1619.17330129841
N0013,1948.01138109228,-5399.73296317824,-2773.17257822297
N0014,2228.05417449452,-5345.01506271968,-2673.30625569011
N0015,3424.1160313896,-4827.08182191134,-2370.95477992813
N0016,2279.67904313168,-5749.37815407736,-1557.07007109505
N0017,2891.22629017593,-5411.58802647518,-1738.09117955967
N0018,2329.99613997235,-5744.58108346584,-1496.51585931122
N0019,3450.11755222527,-4357.52821712866,-3119.21242486813
N0020,3214.36969624934,-4743.76531982686,-2791.92233444838
N0021,3443.460786171,-4929.37934801778,-2120.83446513678
N0022,3387.5589275105,-4554.36645131517,-2900.02142126316
N0023,1757.87108654587,-5009.28751021347,-3524.30600385756
N0024,1889.38977088612,-5600.73406288515,-2388.37643730723
N0025,2212.71272810411,-4948.77358829338,-3350.10482822283
N0026,1796.3623540587,-4750.77651923572,-3846.5906967583
N0027,2991.54315679324,-4871.45349750905,-2819.1654890624
N0028,2532.35035767125,-4903.53159663416,-3186.84623867277
N0029,3160.99316676152,-5123.76421878024,-2099.42440248772
N0030,2468.13385479275,-5300.67412121916,-2542.99580693364
N0031,2556.0925217705,-4632.30894693732,-3550.36374040196
N0032,3557.95821767197,-4124.49454738716,-3307.02426764297
N0033,2376.78535297291,-5667.75660598576,-1701.5337737827
N0034,1877.68065458294,-5777.63351821032,-1936.20443244907
N0035,3689.18838944848,-4740.85605062752,-2137.50446339001
N0036,3705.14290663285,-4909.51941493635,-1684.04927935383
N0037,2180.56383930107,-5267.43678845834,-2859.73696043757
N0038,3531.67885814026,-5035.03709549032,-1686.91253085175
N0039,1863.96385081759,-4997.2924573504,-3492.62208675525
N0040,2625.54365583776,-5236.99802705451,-2514.33471754817
N0041,2733.18889179715,-5069.42565477603,-2731.90207631645
N0042,2709.84954721242,-5594.55648607532,-1423.62272813688
N0043,3609.68779732259,-4796.28439402889,-2149.77329529098
N0044,2489.39445764458,-5480.6484967012,-2113.62405434105
N0045,2713.56903945524,-4529.26877164474,-3566.18842963773
N0046,3350.40613422707,-4651.91022922079,-2786.96914705415
N0047,1954.55147856991,-5144.41518021127,-3217.79393325286
N0048,2316.65102529637,-5337.85394282101,-2614.18991192398
N0049,2769.10154107912,-5016.64099845178,-2792.03447506488
N0050,3988.31989943227,-4687.44697191779,-1670.56379972646
N0051,2898.9650650111,-4682.8000107696,-3206.20710322897
N0052,2541.58850631547,-4961.82022651835,-3088.44541560541
N0053,2160.35807125538,-5206.54998572043,-2977.04222107923
N0054,2345.11497911301,-5522.3832842577,-2168.32837513515
N0055,3138.8561174818,-5085.78293169205,-2220.63102859288
N0056,2883.54523505078,-4596.74997193193,-3340.89396243743
N0057,1868.50622453458,-4712.72743836741,-3858.43673011136
N0058,3458.06960214789,-5026.51893723891,-1853.46576520004
N0059,3670.14703731839,-4432.98661533604,-2742.25897857378
N0060,1797.23444075934,-5114.74805253554,-3350.76486629226
N0061,2857.7088084765,-5013.68104983447,-2707.31337663765
N0062,2232.72263264632,-5737.10574689889,-1670.77709181035
N0063,1986.17883186619,-5248.69984574848,-3030.82156324626
N0064,2381.59207366852,-5274.04337865808,-2677.38479881608
N0065,3251.74479168599,-5006.82905496715,-2237.9041996636
N0066,3097.3585877845,-4488.63798847185,-3296.70281381453
N0067,2967.43490234078,-4545.31649387268,-3338.03541215821
N0068,3314.52388478731,-4004.69119511444,-3683.14938743715
N0069,2755.11836770468,-4444.58491259599,-3639.61923095949
N0070,3056.28172286808,-5393.45114102412,-1496.15835871236
N0071,2552.46263448568,-4525.63832424808,-3686.95523195011
N0072,3035.38905298797,-5051.10913466941,-2432.09083779822
N0073,3465.73826601376,-4322.54544856705,-3149.38985761621
N0074,2039.38591885953,-5667.9182185507,-2092.72882434979
N0075,3416.85784441788,-4367.57875613005,-3140.6581120432
N0076,3131.44329517533,-5181.15554757791,-2001.78101969161
N0077,3287.82415174291,-4322.81620162339,-3333.22841910861
N0078,3415.56698954001,-4558.36385725855,-2861.25670704654
N0079,2190.97200151696,-5566.14233694119,-2216.60619996001
N0080,2011.13053254452,-4698.28454820053,-3803.73259673852
N0081,2778.61146000977,-5314.06663130761,-2166.76452102516
N0082,1841.72122463796,-5540.12382783213,-2559.63774243233
N0083,2819.99704280115,-4787.28539594342,-3121.71085828092
N0084,2482.31023345539,-5022.28812403048,-3038.90009669722
N0085,3366.26983882887,-3972.00356348369,-3671.67127283142
N0086,3736.19055988016,-4535.77001718877,-2472.20768444929
N0087,3588.67758844192,-5036.7378311246,-1556.86537970541
N0088,1495.96154934639,-4833.87084061966,-3870.40807656204
N0089,2660.97097403888,-5550.07645594154,-1667.41019177422
N0090,3026.56622477339,-5318.0198821193,-1795.07128658681
N0091,2582.36573660154,-5038.73867868836,-2927.05028832087
N0092,3835.13272374341,-4875.73542215237,-1480.07798067943
N0093,3465.7979930962,-5056.38800248604,-1755.91835798089
N0094,2678.65226642611,-5062.6697512129,-2797.2544609113
N0095,2237.14931717174,-4896.26420999492,-3411.09330620298
N0096,3492.1879175416,-4104.01456921779,-3400.64763059651
N0097,3353.46335807325,-4776.87275763517,-2564.44320303027
N0098,3372.15623961107,-5045.92921934685,-1955.45320445791
N0099,3180.00771514714,-5303.09885366248,-1561.16554839758
N0100,3229.38714522774,-4345.52618008692,-3360.81970440263
N0101,2561.86597866821,-5178.7777056826,-2693.17891526157
N0102,2299.43846645077,-4526.97418346633,-3847.38236895106
N0103,3425.90641435068,-4229.23941725231,-3314.11862758783
N0104,2930.51034724394,-5133.67873567085,-2387.84416259218
N0105,2843.02308544917,-5374.5594219746,-1921.20959848515
N0106,2679.570030955,-5536.40262620595,-1682.94109054958
N0107,2810.68860444465,-4788.57487271055,-3128.08428074439
N0108,2559.13783016515,-5544.77789766871,-1835.06032850887
N0109,3271.01282509519,-4689.49906608774,-2817.90393065584
N0110,2913.71581393555,-4490.50489720063,-3456.36064027237
N0111,3354.36277108521,-3944.44926960075,-3711.78153896366
N0112,3195.92585864198,-4245.59647255417,-3515.45799177829
N0113,3318.16268129051,-5003.60268555547,-2145.88704240624
N0114,2143.29030701844,-5146.64503335102,-3089.78427708785
N0115,2668.84926163822,-5583.44640680809,-1539.29229657262
N0116,2238.80146077104,-4652.76720627761,-3732.16320576846
N0117,1690.51308125738,-4957.89139101763,-3627.31058440628
N0118,1932.77285886246,-5918.86596778637,-1395.61795588663
N0119,2941.05844579759,-4805.8888397617,-2979.1799762049
N0120,3921.62130818513,-4385.36413466096,-2456.88435602055
N0121,3391.58830788701,-3901.77154869996,-3722.96699540599
