TIME[UTC],LAT[deg],LON[deg],ALT[km]
1 Jan 2020 20:20:00.000000000,-59.0938416780869,-52.1284790159485,615.710515800233
1 Jan 2020 20:20:01.000000000,-59.0342752754428,-52.1651919438528,615.69083726357
1 Jan 2020 20:20:02.000000000,-58.9747000799865,-52.2017926845431,615.671134268916
1 Jan 2020 20:20:03.000000000,-58.9151161377108,-52.2382818723051,615.651406908119
1 Jan 2020 20:20:04.000000000,-58.8555234942615,-52.2746601368309,615.63165527315
1 Jan 2020 20:20:05.000000000,-58.7959221949398,-52.3109281032569,615.611879456088
1 Jan 2020 20:20:06.000000000,-58.7363122847062,-52.3470863922076,615.592079549137
1 Jan 2020 20:20:07.000000000,-58.6766938081832,-52.383135619833,615.572255644606
1 Jan 2020 20:20:08.000000000,-58.6170668096586,-52.4190763978439,615.55240783492
1 Jan 2020 20:20:09.000000000,-58.5574313330889,-52.4549093335597,615.532536212622
1 Jan 2020 20:20:10.000000000,-58.4977874221017,-52.4906350299368,615.512640870364
1 Jan 2020 20:20:11.000000000,-58.4381351199993,-52.5262540856166,615.492721900914
1 Jan 2020 20:20:12.000000000,-58.3784744697613,-52.561767094955,615.472779397152
1 Jan 2020 20:20:13.000000000,-58.3188055140478,-52.597174648064,615.452813452065
1 Jan 2020 20:20:14.000000000,-58.2591282952022,-52.6324773308465,615.432824158762
1 Jan 2020 20:20:15.000000000,-58.1994428552544,-52.667675725037,615.412811610451
1 Jan 2020 20:20:16.000000000,-58.1397492359231,-52.7027704082346,615.392775900461
1 Jan 2020 20:20:17.000000000,-58.0800474786191,-52.7377619539356,615.372717122224
1 Jan 2020 20:20:18.000000000,-58.0203376244479,-52.7726509315777,615.352635369287
1 Jan 2020 20:20:19.000000000,-57.9606197142127,-52.8074379065649,615.332530735302
1 Jan 2020 20:20:20.000000000,-57.9008937884167,-52.8421234403125,615.312403314036
1 Jan 2020 20:20:21.000000000,-57.8411598872665,-52.8767080902727,615.292253199357
1 Jan 2020 20:20:22.000000000,-57.7814180506739,-52.9111924099736,615.272080485251
1 Jan 2020 20:20:23.000000000,-57.7216683182595,-52.9455769490507,615.2518852658
1 Jan 2020 20:20:24.000000000,-57.6619107293547,-52.9798622532837,615.231667635202
1 Jan 2020 20:20:25.000000000,-57.6021453230044,-53.0140488646276,615.21142768776
1 Jan 2020 20:20:26.000000000,-57.5423721379697,-53.048137321241,615.191165517882
1 Jan 2020 20:20:27.000000000,-57.4825912127307,-53.0821281575279,615.170881220084
1 Jan 2020 20:20:28.000000000,-57.4228025854884,-53.1160219041595,615.150574888982
1 Jan 2020 20:20:29.000000000,-57.3630062941678,-53.1498190881158,615.130246619307
1 Jan 2020 20:20:30.000000000,-57.3032023764198,-53.183520232709,615.109896505886
1 Jan 2020 20:20:31.000000000,-57.2433908696244,-53.2171258576187,615.089524643656
1 Jan 2020 20:20:32.000000000,-57.1835718108923,-53.250636478921,615.069131127653
1 Jan 2020 20:20:33.000000000,-57.1237452370679,-53.2840526091238,615.048716053021
1 Jan 2020 20:20:34.000000000,-57.0639111847314,-53.3173747571882,615.028279515005
1 Jan 2020 20:20:35.000000000,-57.0040696902012,-53.3506034285672,615.00782160895
1 Jan 2020 20:20:36.000000000,-56.9442207895363,-53.3837391252317,614.987342430308
1 Jan 2020 20:20:37.000000000,-56.8843645185385,-53.4167823456962,614.966842074628
1 Jan 2020 20:20:38.000000000,-56.8245009127546,-53.4497335850577,614.946320637563
1 Jan 2020 20:20:39.000000000,-56.7646300074788,-53.4825933350091,614.925778214868
1 Jan 2020 20:20:40.000000000,-56.7047518377551,-53.5153620838862,614.905214902398
1 Jan 2020 20:20:41.000000000,-56.6448664383789,-53.54804031668,614.884630796102
1 Jan 2020 20:20:42.000000000,-56.5849738438999,-53.5806285150776,614.864025992038
1 Jan 2020 20:20:43.000000000,-56.5250740886239,-53.6131271574747,614.843400586354
1 Jan 2020 20:20:44.000000000,-56.4651672066149,-53.6455367190193,614.822754675303
1 Jan 2020 20:20:45.000000000,-56.4052532316973,-53.6778576716302,614.802088355231
1 Jan 2020 20:20:46.000000000,-56.3453321974579,-53.7100904840211,614.781401722591
1 Jan 2020 20:20:47.000000000,-56.2854041372484,-53.7422356217362,614.76069487392
1 Jan 2020 20:20:48.000000000,-56.2254690841868,-53.7742935471667,614.739967905862
1 Jan 2020 20:20:49.000000000,-56.16552707116,-53.8062647195864,614.719220915155
1 Jan 2020 20:20:50.000000000,-56.1055781308252,-53.838149595168,614.698453998632
1 Jan 2020 20:20:51.000000000,-56.0456222956128,-53.8699486270198,614.677667253216
1 Jan 2020 20:20:52.000000000,-55.9856595977274,-53.9016622651959,614.65686077594
1 Jan 2020 20:20:53.000000000,-55.9256900691505,-53.9332909567377,614.636034663915
1 Jan 2020 20:20:54.000000000,-55.8657137416418,-53.9648351456903,614.615189014357
1 Jan 2020 20:20:55.000000000,-55.8057306467417,-53.9962952731241,614.59432392457
1 Jan 2020 20:20:56.000000000,-55.7457408157729,-54.0276717771681,614.573439491954
1 Jan 2020 20:20:57.000000000,-55.6857442798423,-54.0589650930244,614.552535814003
1 Jan 2020 20:20:58.000000000,-55.6257410698428,-54.0901756530016,614.531612988302
1 Jan 2020 20:20:59.000000000,-55.5657312164553,-54.121303886529,614.510671112522
1 Jan 2020 20:21:00.000000000,-55.5057147501503,-54.152350220191,614.489710284438
1 Jan 2020 20:21:01.000000000,-55.44569170119,-54.1833150777354,614.468730601906
1 Jan 2020 20:21:02.000000000,-55.3856620996299,-54.2141988801126,614.447732162873
1 Jan 2020 20:21:03.000000000,-55.3256259753204,-54.2450020454901,614.426715065385
1 Jan 2020 20:21:04.000000000,-55.265583357909,-54.2757249892718,614.405679407565
1 Jan 2020 20:21:05.000000000,-55.2055342768415,-54.3063681241301,614.384625287636
1 Jan 2020 20:21:06.000000000,-55.1454787613642,-54.3369318600171,614.363552803904
1 Jan 2020 20:21:07.000000000,-55.0854168405252,-54.3674166041973,614.342462054766
1 Jan 2020 20:21:08.000000000,-55.0253485431766,-54.3978227612601,614.321353138703
