NAME,LATITUDE[deg],LONGITUDE[deg],ALTITUDE[km]
N0000,-36.4063539903564,-63.2060661885711,0.132467267957618
N0001,-27.5786435584737,-66.6002300630068,1.77794665553534
N0002,-4.47621503994656,-59.4509406820589,0.033534503391111
N0003,-36.5192397745211,-69.0998428860883,1.66496691557458
N0004,-26.5721879475979,-63.2569670467395,0.22589757546364
N0005,-28.414098558507,-74.714044518138,0.015690012998178
N0006,-14.2133958999649,-80.2673076004486,0.00563737901224594
N0007,-37.9774086326565,-53.7143484189589,0.0035600210401303
N0008,-11.3156663332828,-63.9736322454517,0.210594504483977
N0009,-29.7831026343681,-52.4668632127911,0.0298056542072128
N0010,-17.0043089374427,-78.9816200881965,0.0101605883857122
N0011,-27.5094996588624,-55.4844954316272,0.268054093600478
N0012,-25.5000795443886,-77.3881043747315,0.0119744210269434
N0013,-16.0772019359122,-66.0352262726043,0.260154172614763
N0014,-12.4799645900899,-62.3717617446181,0.327120088430904
N0015,-23.1785875705678,-73.554749551497,0.0187449339440623
N0016,-37.1561606456907,-60.2542341790223,0.230879887755949
N0017,-33.2497683320133,-57.9925407996749,0.0437076410403413
N0018,-6.50450051970932,-65.6969515274928,0.108131041663405
N0019,-13.0874765063547,-80.093892461173,0.00559521680094017
N0020,-39.0770965108518,-68.4254394159726,0.405193539329393
N0021,-37.2145426231105,-65.5053503628372,0.318947839153369
N0022,-25.0119153254129,-78.1340986783701,0.0107759833886144
N0023,-33.2909218456025,-50.8819645267073,0.00720579855317769
N0024,-23.8258541158646,-62.8378986449161,0.2408016879998
N0025,-36.3975332073104,-53.3337056113314,0.00719340368899138
N0026,-35.6214040396215,-65.1290321813737,0.3349849769813
N0027,-27.8845371810941,-75.6932928514137,0.0143294730172047
N0028,-22.923068123203,-73.7961566306778,0.0179748587907618
N0029,-19.2250096441766,-58.1896506590766,0.113295449202159
N0030,-40.4763580816563,-72.1864793166751,1.4305954983478
N0031,-12.01692615182,-64.2945895017407,0.174257555403618
N0032,-30.9625752528708,-70.2401257569647,3.76527714702737
N0033,-24.8234884887052,-59.7290111118397,0.136732581382509
N0034,-35.5855266801925,-64.500144923111,0.220596193736131
N0035,-30.5213025637071,-49.4071826488618,0.00308039124233495
N0036,-26.6495673917771,-72.9884301236315,0.0185498224073791
N0037,-7.36161420885871,-60.7221253298707,0.0820733680300933
N0038,-21.0080660326025,-75.1432734623829,0.0155370195833286
N0039,-28.9910482861863,-82.3710848967739,0.00552733617228595
N0040,-22.0727040713802,-84.2042601046231,0.00381671769669532
N0041,-4.90344106200524,-73.2994530475522,0.176751989933109
N0042,-19.5550508114212,-73.90610389316,0.0188565540692035
N0043,-12.8678508123009,-59.3067761828046,0.453304940218946
N0044,-23.4134009432068,-70.6649489517774,0.023092058515947
N0045,-15.0861346659814,-70.1257631202108,4.48165035643899
N0046,-35.3230628383597,-78.1945048625755,0.00950288557361442
N0047,-11.6856659762684,-49.2886942691777,0.222553810233922
N0048,-32.4819223832322,-66.7647523824547,0.565399044334261
N0049,-15.8077284562392,-72.4368322434791,2.5701163098986
N0050,-38.0678874029043,-60.8330475350352,0.184328026624428
N0051,-41.6995744629513,-67.0812928984249,1.07776528285079
N0052,-37.7786479480549,-63.42101458357,0.160216826929311
N0053,-22.463445514342,-73.3815246683736,0.0185203036201541
N0054,-30.8603291371741,-47.9807739282999,-0.002599103896172
N0055,-33.9739658031222,-59.1880482776695,0.0430128716254121
