NAME,X[km],Y[km],Z[km]
N0000,2316.78720479307,-4587.66595850875,-3764.65471629449
N0001,2247.46491488197,-5193.64220105761,-2936.02064666691
N0002,3232.04824902232,-5476.20137257866,-494.463598945393
N0003,1831.24196855056,-4795.50921867838,-3775.64138537708
N0004,2568.74474139066,-5097.83836480963,-2836.00150145459
N0005,1480.06716150983,-5415.42947290347,-3016.9543779431
N0006,1045.44037320485,-6095.13546391564,-1555.88138025516
N0007,2979.16378192364,-4057.76945426684,-3903.46987261399
N0008,2744.67100668961,-5620.84280658595,-1243.30512176832
N0009,3375.24092915321,-4393.43616074709,-3149.54380796328
N0010,1166.05807051117,-5988.59156879405,-1853.29240463754
N0011,3207.84109074253,-4664.73302599017,-2928.52779289335
N0012,1257.75821047866,-5621.40431986123,-2729.18365654003
N0013,2490.05858774384,-5602.02990218985,-1755.01061071422
N0014,2888.46376699585,-5518.49552910514,-1369.36180991944
N0015,1660.76342950812,-5626.38057406106,-2494.9201285975
N0016,2525.28070671889,-4419.08286479201,-3831.35918662099
N0017,2830.02646242749,-4527.67731841218,-3477.18164165212
N0018,2608.26323625251,-5775.84334538398,-717.729611270096
N0019,1068.94080207705,-6120.90221440902,-1434.83437499928
N0020,1823.20690718062,-4610.87523234703,-3999.22038038703
N0021,2108.64889675349,-4628.15295636574,-3836.57459285657
N0022,1189.20670499429,-5659.88213069857,-2680.27519316269
N0023,3367.1189357077,-4140.57523660461,-3480.97780972262
N0024,2665.0960950149,-5194.16416925936,-2560.74845531677
N0025,3069.34028794751,-4122.89542904322,-3763.79254502778
N0026,2183.14768312572,-4709.43614772167,-3694.32082974966
N0027,1394.14126955008,-5466.76027608689,-2965.20824979773
N0028,1640.13454233389,-5643.96697439794,-2468.88167058298
N0029,3175.69625467984,-5119.80856062309,-2086.92089902837
N0030,1486.65726711011,-4626.64385375019,-4119.29189692075
N0031,2706.32210768709,-5621.96331927604,-1319.27024837286
N0032,1851.77848301592,-5154.83681084977,-3264.27337040461
N0033,2919.88012283818,-5002.58914371933,-2661.39862147082
N0034,2235.66430699747,-4687.198203459,-3691.01756271746
N0035,3578.1731458023,-4175.78555940797,-3220.29073260002
N0036,1668.91388999673,-5454.831490807,-2843.57402331155
N0037,3093.6991596274,-5517.89875156365,-811.822504218051
N0038,1527.33013827774,-5757.62515822524,-2272.23429842447
N0039,741.223130525627,-5533.90413289381,-3073.03607106716
N0040,597.155780472017,-5883.23999560441,-2381.87677949331
N0041,1826.27030056937,-6087.0648120689,-541.561187561843
N0042,1666.74475595063,-5776.88243241674,-2121.3521294392
N0043,3174.65490833462,-5348.16895989572,-1411.25742722975
N0044,1938.90254312221,-5525.7973840165,-2518.8069654049
N0045,2095.507677597,-5796.9189323857,-1650.47069852789
N0046,1065.87139287267,-5099.59520260506,-3667.17411919023
N0047,4074.60387073944,-4735.27370638246,-1283.41583515003
N0048,2124.8262651003,-4949.18019631811,-3405.93586903736
N0049,1853.06657013361,-5854.66168921267,-1726.96620911838
N0050,2450.39313009298,-4390.40669409149,-3911.49277658549
N0051,1857.58164715955,-4393.50924889961,-4221.46483444504
N0052,2258.47320527116,-4514.20146077595,-3886.15244330775
N0053,1686.55103072307,-5650.76692988698,-2421.92376352876
N0054,3668.16734167376,-4071.16445021305,-3252.609183322
N0055,2712.16866907255,-4547.54822051266,-3544.07616417579
N0056,2553.87857891295,-4164.2295685038,-4087.18851387733
N0057,3390.4850039737,-5006.90345092502,-2022.4851788287
N0058,3330.0219543107,-4296.27739441028,-3325.55969092131
N0059,2526.10239736875,-4246.75045035802,-4019.43126996563
N0060,2624.04147951956,-5661.75913109733,-1315.27521813636
N0061,1591.60199965326,-5531.38452507692,-2738.77491631722
N0062,1751.98429358868,-5875.6751087218,-1756.97274470807
N0063,1674.96445265778,-4979.400345704,-3604.92591401365
N0064,2368.74263586241,-4300.04293694048,-4058.14065007965
N0065,757.688277155432,-5798.23319077144,-2538.44218895123
N0066,2733.16091033046,-5691.35695978053,-902.649905055428
N0067,2473.65742958136,-5118.32879140305,-2882.88799152417
N0068,2615.69120539133,-4187.21215551856,-4024.5561930935
N0069,1363.4099078755,-5708.62759516233,-2488.32335142828
N0070,1690.01098323479,-4799.50486746625,-3835.63616550816
N0071,1659.76652244763,-5687.86506811788,-2353.06324500788
N0072,1454.32225310828,-5805.64884339334,-2197.19592383608
N0073,2619.09794739934,-5133.39670199471,-2724.44375589472
N0074,1294.39766220058,-5629.57613259532,-2695.22468158134
N0075,1830.03374336156,-6005.30806287575,-1124.45667798272
N0076,958.499921429319,-6048.01674488797,-1778.243669914
N0077,1216.36119048374,-5287.04693917399,-3342.61598607821
N0078,3379.40987819697,-4887.37744367684,-2311.47254209708
N0079,1570.861172993,-5630.96224231728,-2542.03888001549
N0080,2349.35437469279,-5323.66155218335,-2612.65147987395
N0081,2811.17981749871,-4027.76621287888,-4055.15170191476
N0082,1197.32659694348,-5400.74341637266,-3164.1230454802
N0083,1195.42623051265,-6171.28144796651,-1076.65679672371
N0084,1298.85068151096,-5788.52331805636,-2334.52958678722
N0085,3553.43287364182,-4978.22269197555,-1803.40319964113
N0086,2562.08243951473,-5372.7336766033,-2287.96341663532
N0087,724.524317914559,-5691.86635018833,-2776.05799644441
N0088,2362.24631664426,-4283.64300046733,-4079.07616713708
N0089,2196.4457770443,-4757.81444935039,-3624.23608422584
N0090,3389.00698638775,-5364.18578880138,-647.576998883662
N0091,2929.04426589608,-5440.26762936795,-1578.38487696842
N0092,1314.50942583522,-6172.61770150252,-946.790596374157
N0093,585.236809402985,-5614.24621800735,-2959.62720667849
N0094,2863.26650531683,-4505.95924020688,-3478.25220283519
N0095,1840.44822930507,-5167.96971957653,-3250.44490729799
N0096,1833.09444397454,-5247.17329956876,-3121.24012801628
N0097,2868.6053074343,-5663.43321847315,-612.523588602306
N0098,1060.65062930647,-5916.45166510411,-2126.23827500466
N0099,1676.02495615765,-5383.6835414456,-2971.23446057546
N0100,4089.64584204396,-4685.36644533833,-1411.70676920264
N0101,2308.99773756031,-5343.98694173535,-2608.65990261464
N0102,2987.53224995699,-4560.12597958747,-3299.81050095609
N0103,665.833486942409,-5638.66731025077,-2895.90789536564
N0104,1136.51218499439,-6190.40868774547,-1029.93645930218
N0105,702.804222614009,-5913.78413641987,-2275.74256347015
N0106,691.860427702741,-5731.55565889057,-2702.23696002338
N0107,2073.77526752873,-6011.14906729543,-496.134995261005
N0108,2013.82975947059,-5920.79207750812,-1250.83129711414
N0109,1274.67680294269,-5357.20453112051,-3207.33770816334
N0110,3975.99215579567,-4593.57454071555,-1937.79849048884
N0111,2575.93151729294,-5745.53931232766,-1014.47962576393
N0112,1122.52656748587,-5843.06791917141,-2289.95515989667
N0113,3058.00921511175,-4007.2011246667,-3894.7835254934
N0114,1560.85200738527,-5856.33450409305,-1980.27957456732
N0115,2689.19576040327,-5538.50529825392,-1660.71595012045
N0116,1555.70572630628,-5612.56207266322,-2591.24053475539
N0117,1110.53313273571,-5352.63552795951,-3274.82594157075
N0118,2272.35309293619,-5237.29078752183,-2843.92654530594
N0119,1811.2904545842,-4631.44588700321,-3981.43903037305
N0120,4015.87389044862,-4075.792662735,-2808.56419194359
N0121,1668.23142650528,-4699.75229813823,-3964.62392931931
N0122,2270.24970901518,-4538.00114722972,-3851.63825925271
N0123,2255.35271768497,-4370.5291448745,-4047.51863321816
N0124,912.929014767626,-5955.91442025733,-2084.4820826651
N0125,1121.10165682677,-5390.68229339707,-3208.58985242958
N0126,1902.3525174821,-5062.87307679996,-3373.86717613477
N0127,743.617979888722,-5345.36541805165,-3387.83713326916
N0128,2983.21926029554,-5599.8649427877,-648.522407274838
N0129,2061.09788766837,-5238.43465551289,-2996.52460723172
N0130,2152.18397336773,-4730.06970196479,-3686.20692738875
N0131,3609.19288911791,-4955.04982158078,-1756.96270643424
N0132,1113.3956613985,-6088.93621317848,-1533.00104154502
N0133,3623.06456770079,-5065.80781989138,-1372.46323727663
N0134,3059.51644324036,-5039.06164990843,-2426.86031097409
N0135,1067.84999753777,-6161.94823453481,-1249.09318018126
N0136,2426.23546001138,-5708.95518076868,-1479.74275284966
N0137,3002.07710536113,-4241.78941248444,-3685.64489295048
N0138,1787.56875150446,-5985.82781769369,-1286.964666066
N0139,2910.68192981184,-5575.19050958231,-1058.68947679915
N0140,2482.90175304497,-5194.50343586449,-2737.49364217821
N0141,1892.45676802921,-4594.12173242188,-3986.36508070585
N0142,2453.07453653587,-4853.93944337436,-3321.23350570362
N0143,969.019992449471,-5389.64799269813,-3259.11577854407
N0144,2316.88724389354,-5908.98522067809,-629.284844696245
N0145,2966.67919427171,-5634.38470771778,-364.496592215965
N0146,3457.95491513324,-5188.53413374855,-1339.78460927756
N0147,2479.03709034086,-4991.78638175207,-3091.51575441008
N0148,1506.52178894911,-4668.11474325524,-4063.29864080668
N0149,728.342221005552,-5702.93967590541,-2752.39131945251
N0150,1080.03415611303,-4960.70979691503,-3847.83734635645
N0151,2525.16643690075,-4618.22664366361,-3590.34594627476
N0152,654.400610995426,-5870.35759798422,-2398.45414298601
N0153,3416.42963721053,-4475.53636898457,-2987.69887880526
N0154,1332.39528609622,-4794.59480380985,-3976.27892213897
N0155,1792.10785741356,-5771.75714616791,-2031.79754980285
N0156,3419.59425991473,-5287.06394565295,-1014.34929309989
N0157,2145.98428840267,-5933.97537350779,-927.707701029375
N0158,1351.60722055071,-6144.4108569648,-1068.43327158321
N0159,4111.05132465177,-4160.27865143304,-2535.50274426762
N0160,2085.93563861678,-5673.92394541286,-2032.92838224122
N0161,3469.16508443454,-5127.7134287499,-1530.43681592411
N0162,1854.37139433244,-5893.2191026421,-1599.40681659021
N0163,3389.00097916562,-5222.68947660177,-1382.06967667606
N0164,4140.41239268183,-4449.15568872777,-1930.15127857094
N0165,1894.83654766835,-5982.81999063002,-1137.08448692182
N0166,1998.21360237162,-5485.23850290283,-2562.77822484531
N0167,2668.17462042601,-5024.9433673761,-2873.71525315657
N0168,3066.05715489093,-5060.64703238212,-2373.47234095789
N0169,2462.45156208749,-4385.30316607032,-3909.65222485996
N0170,2588.87931339592,-5168.65052488509,-2686.75028948044
N0171,3995.17318421545,-4759.25026563102,-1434.82518851787
N0172,3808.84387436523,-4999.26485090663,-1084.57467450849
N0173,3123.93494878962,-4476.28207696265,-3288.48152031711
N0174,3790.87875227123,-4839.51193384723,-1695.12753532732
N0175,2718.64715408374,-5725.9830058255,-707.331669845255
N0176,1656.24770286825,-4834.99867157259,-3805.86635537006
N0177,3594.56482303393,-5148.64844265922,-1116.16916162251
N0178,3346.49166458571,-4825.11052787131,-2482.84841169153
N0179,2645.5120469537,-5570.91765945037,-1622.21366729643
N0180,3199.13512485159,-4566.44706312578,-3087.51480719529
N0181,1228.64312529044,-5499.85373043763,-2977.0949710248
N0182,2949.82182846743,-5050.46626257196,-2535.83000634228
N0183,1479.00113031436,-6116.30155363549,-1058.92042550237
N0184,2722.85356331344,-5289.39753467174,-2293.1538450344
N0185,1370.93445282341,-4804.70955346884,-3951.06275367759
N0186,2317.69212234688,-4881.9263976492,-3377.50691755062
N0187,1600.89512204365,-5477.96977856734,-2838.23157135696
N0188,3027.59692429819,-5101.62430114226,-2335.10309750384
N0189,3577.99648282623,-4912.82827597306,-1929.34317610345
N0190,2962.80490343559,-5551.16268103766,-1040.03232084444
N0191,1121.88212643479,-5465.90502332662,-3079.30567565856
N0192,2050.83370127328,-4639.44791297436,-3854.02599907362
N0193,2234.9334813845,-4829.90040190987,-3504.77042227206
N0194,2461.13006242995,-5591.57312555425,-1832.64531499777
N0195,1857.07680760119,-5766.45601465532,-1988.32293819105
N0196,2018.84859072443,-5354.68288650406,-2813.74729117409
N0197,1904.29785061335,-5440.57622572202,-2721.18203391955
N0198,3702.24620919476,-5148.44540823656,-683.53783846654
N0199,2413.83645846095,-5059.28599895858,-3032.84327621915
N0200,1969.51666726884,-4895.84927479352,-3571.35572391608
N0201,2982.87952049492,-4568.28168255232,-3292.7644203234
N0202,3102.23046867423,-5407.58941029415,-1345.02194587105
N0203,3755.20236808965,-5053.43885086653,-1019.07382259527
N0204,2240.80136223134,-5827.3008862962,-1301.77846290095
N0205,2575.73607441255,-5448.60382230523,-2090.00724726661
N0206,2284.80628939591,-5938.41468864221,-442.072677089654
N0207,3508.25997648464,-4370.56184999337,-3036.0481989366
N0208,848.917583167723,-6002.1428094019,-1976.85702936576
N0209,2151.77579409048,-5135.25665752162,-3102.82970742058
N0210,4172.53141457478,-4181.68054327205,-2399.340144877
N0211,3270.16309713807,-5439.76407591662,-628.179574945414
N0212,2911.11077838787,-5666.26841248006,-315.190450870233
N0213,1572.73158634592,-5035.00114805497,-3573.51251923272
N0214,1858.15087799936,-4948.33417859172,-3563.61908477151
N0215,2563.09760379957,-5809.03939782166,-604.14980617035
N0216,2050.01151785225,-5722.76128262732,-1929.43623315949
N0217,1666.99557539362,-6101.41195770591,-820.362571112654
N0218,3967.36368205125,-4686.58557382754,-1722.80675970399
N0219,2308.54131169843,-4728.97931234646,-3592.12777584338
N0220,4033.60004423363,-4615.82712353925,-1759.4918407925
N0221,3208.71146652666,-5172.48674894205,-1899.29237383049
N0222,4167.34621644093,-4600.04007312886,-1466.64230993545
N0223,3922.43872092208,-4940.06748749229,-942.540688241152
N0224,1989.69410815989,-5610.0886224548,-2283.38346221091
N0225,4094.40783186723,-4701.98826434394,-1341.32669429203
N0226,1687.28008887967,-4464.4209732868,-4218.82383807537
N0227,3581.84260083214,-5102.78020496204,-1343.56729156412
N0228,3761.53584364952,-4225.24148129196,-2936.10600945343
N0229,3439.46912555148,-4545.8757531049,-2852.48908042835
N0230,3837.73125679854,-4788.59496690317,-1733.77565744605
N0231,857.548509249938,-5912.60619672744,-2225.53995129778
N0232,2852.9782606604,-5501.93024729242,-1502.50595273019
N0233,3125.45258224224,-5539.07065603979,-479.351836050713
N0234,1843.98980731999,-5365.94466292043,-2903.52182893686
N0235,1441.8615535264,-4984.81371556453,-3696.12499681171
N0236,1420.91200066967,-5288.42799028973,-3259.25804614111
N0237,812.489972793635,-6010.55148527398,-1966.65623988002
N0238,2045.61439327962,-5379.90859042857,-2747.56272995833
N0239,1925.2207465463,-5676.31142717058,-2173.0144953747
N0240,2784.87393424314,-4976.14890974925,-2847.80207218093
N0241,1526.05549008373,-5061.53066749503,-3556.34251228823
N0242,1553.17636277682,-4856.40757077896,-3819.35871217482
N0243,2294.47811366214,-5308.55316349485,-2694.38531996052
N0244,1380.69064942055,-5529.00116021608,-2854.77292314569
N0245,2831.05244246472,-4832.32539479249,-3041.87717121231
N0246,3282.0144177068,-5429.55546425675,-653.644881911824
N0247,1462.86535291853,-4663.41149513349,-4084.63291024493
N0248,2855.88452337423,-4459.90537576058,-3542.7611842859
N0249,1452.71486273434,-6158.79124549638,-799.51151519746
N0250,1963.86169718877,-5875.57723690496,-1527.68098092394
N0251,2611.38185847309,-4073.02518667631,-4142.01637326532
N0252,3118.53962974153,-4864.15335273775,-2692.45949307629
N0253,3581.2035070847,-4202.88559299249,-3181.69412910683
N0254,840.098835197547,-5695.31159534927,-2736.40604234634
N0255,2806.80448788129,-5347.13409513844,-2046.2059415082
N0256,1946.22932031091,-5201.82984856215,-3136.15509168261
N0257,3361.97946258121,-4993.04680284723,-2102.17810873793
N0258,3737.61919652896,-5026.44621528834,-1200.01749190739
N0259,1974.08134013766,-5338.069334291,-2876.49266055329
N0260,2720.32289522739,-5206.53708581577,-2476.72822995778
N0261,2452.94199186591,-4353.23947899312,-3950.83928091843
N0262,3727.87735834749,-4592.50469051573,-2378.89871173981
N0263,3192.69735688392,-4111.01867345295,-3673.68656235033
N0264,3969.10414839202,-4386.34076857307,-2378.97223046645
N0265,1490.04841917603,-5411.53060262679,-3019.0228619485
N0266,4003.0920042509,-4476.96727847797,-2142.55169245153
N0267,3789.49576698464,-4773.00097303892,-1877.8171516477
N0268,3194.80162117208,-5384.10206182322,-1216.36817984651
N0269,3179.35814465828,-4459.80651025061,-3257.82232285997
N0270,743.276991249341,-5581.4207043901,-2985.94977884729
N0271,1028.08556637604,-5120.56687115142,-3648.81500373128
N0272,3311.03591021366,-5381.32299374173,-869.295553685219
N0273,3338.63584553735,-5019.48529374451,-2076.40257469187
N0274,714.159405757208,-5707.1380008299,-2747.43437517153
N0275,3523.03729533904,-4044.17345308212,-3440.0204550294
N0276,3318.31599505402,-4661.8737485429,-2808.24829106584
N0277,2908.1883667176,-5660.02690507156,-431.400351114854
N0278,2251.06521878091,-4940.80637193672,-3336.37576097405
N0279,1649.99906512138,-6127.23400971535,-643.585258742055
N0280,3251.98961676176,-4412.01272126516,-3251.17176510323
N0281,2296.14016151143,-4483.90799034615,-3899.17657161973
N0282,2973.56116315513,-4516.62411723307,-3371.1317994157
N0283,2318.11018987992,-5824.58955855297,-1172.53962830688
N0284,2693.0980759962,-5474.89724114338,-1853.00827618439
N0285,1319.41599562055,-4916.64761092801,-3829.83234838024
N0286,884.219841503715,-5824.15061909786,-2436.8274578411
N0287,3678.16295751948,-4164.97225049387,-3120.76183390089
N0288,3053.79437861388,-5480.68267305533,-1144.76553473715
N0289,2799.17749399482,-4154.88258866353,-3934.21068967155
N0290,2210.17805098082,-5339.27895444672,-2699.44633552579
N0291,2683.60765493403,-5720.6160366009,-865.84262456256
N0292,2538.21386208262,-5728.21468973269,-1190.88014244146
N0293,2832.94892766421,-4570.64722955935,-3418.43627381395
N0294,2271.00393048694,-4762.65556151892,-3571.7835295418
N0295,1426.756523566,-6170.45631425037,-765.625708518862
N0296,2257.71258235971,-5086.7281936822,-3106.10529231267
N0297,2068.70793196235,-4337.6134645819,-4179.54921512065
N0298,2759.05153413332,-4945.77087740014,-2924.26313868665
N0299,3360.82917347212,-4827.04898223765,-2459.62709290591
N0300,3906.98753562231,-4389.07872607285,-2473.64066279225
N0301,1944.38374176603,-5661.71521133931,-2193.79594593534
N0302,3852.29932832427,-4063.09355172944,-3044.53085344844
N0303,1729.03579208295,-4728.183559606,-3904.31450345572
N0304,1718.57375174443,-4888.87266849947,-3709.80350789527
N0305,3841.96924806004,-4841.53199610989,-1570.34032393196
N0306,1833.27764924866,-4624.70921646723,-3978.66132712712
N0307,1183.62616734989,-6161.38413899579,-1143.78824095425
N0308,1273.64761457908,-4934.33756574461,-3822.62009761948
N0309,2703.01160169313,-4897.40846612925,-3054.17620375039
N0310,2512.74989181851,-5466.82054839289,-2119.54776356741
N0311,1530.8061151591,-4931.37587012703,-3731.79356120296
N0312,2292.73403704931,-5585.8013283054,-2059.6910888252
N0313,3673.25455774131,-4959.15649389485,-1607.46047706415
N0314,3910.11729070467,-4136.17403535392,-2868.47861944392
N0315,2733.20491406724,-5572.57588475982,-1464.33900473554
N0316,1550.2294443282,-4697.885336442,-4013.54589453148
N0317,871.833961260903,-5961.42857270959,-2086.29767932353
N0318,1097.36575302861,-5723.43647004267,-2583.3767416862
N0319,2722.92053144981,-5437.21008188425,-1919.21139306807
N0320,1534.23936726916,-5865.58650290269,-1973.7262112162
N0321,694.892295865016,-5984.91738426981,-2085.48324645067
N0322,844.735415833409,-6102.45338492266,-1645.86710355972
N0323,1941.12240734479,-5162.77560974173,-3196.99839517694
N0324,2775.04002088281,-5698.3265098849,-711.728981602779
N0325,2109.50526988477,-4484.21092291404,-4002.11860252492
N0326,1669.37585194043,-5828.54515893283,-1973.79077959209
N0327,1581.036270909,-5559.02637046502,-2688.80753115902
N0328,1928.37987599146,-4619.49091605598,-3939.79943476138
N0329,3123.83822821715,-5524.47557202631,-632.769245458624
N0330,2009.68983689125,-4406.65378342365,-4136.43905696687
N0331,3946.65708491777,-4468.23252049471,-2261.00789999503
N0332,1721.24454127553,-5103.90892453477,-3404.58311994704
N0333,3438.40747917617,-5127.57190279736,-1597.67810114325
N0334,3661.55206492883,-5148.55717421929,-874.039320087129
N0335,3181.68559715078,-5363.27935868118,-1336.10956163303
N0336,3398.31528244276,-5282.54211701115,-1105.83736633143
N0337,3064.62452076213,-5105.66398878645,-2277.60547307071
N0338,2051.7329714991,-5652.11736841906,-2123.74806456349
N0339,3966.03735674268,-4434.25581843774,-2293.40329821553
N0340,1606.53114342379,-6082.8441787451,-1046.61206690177
N0341,1597.33214915031,-6017.87716265459,-1400.3996260229
N0342,999.349178506643,-5646.70212488823,-2782.91488400263
N0343,2631.5377227183,-5782.01678310697,-568.446156598815
N0344,2860.02928801169,-5565.28162601316,-1233.61080649669
